jType,jNo,qNo,choice,confidence,reason
1,5,6,,3,Das%20stimmt%20so%20nicht%2C%20denn%20ich%20bin%20der%20Meinung%2C%20dass%20der%20Ausl%C3%A4nder%20immer%20kritischer%20gesehen%20wird.
1,5,7,,1,Ist%20einfach%20meinungslos.
,,,,,
1,7,1,,4,Die%20ausf%C3%BChrliche%20Antwort%20steht%20f%C3%BCr%20die%20Wertsch%C3%A4zung%20gegen%C3%BCber%20dem%20Besuch
1,7,2,,3,ich%20denke%20der%20imitator%20antwortet%2C%20wie%20er%20meint%2C%20dass%20ein%20spieler%20mit%20migrationshintergrund%20antworten%20sollte
1,7,3,,3,Keine%20Achung%20schenken%20kann%20kann%20auch%20seine%20Frustration%20zeigen%20und%20dass%20er%20keine%20Lust%20mehr%20hat%20sich%20damit%20zu%20besch%C3%A4figen
1,7,4,,2,Alle%20ist%20keine%20ernshafte%20Anwort.%20Kann%20ich%20mir%20nicht%20vorstellen
,,,,,
0,8,1,,1,Hier%20kann%20ich%20noch%20nichts%20sagen.%20Ich%20gehe%20davon%20aus%2C%20dass%20Leute%20mit%20Migrationshintergrund%20eher%20einen%20Bezug%20zu%20dem%20Verein%20haben.
0,8,2,,1,Ich%20glaube%2C%20dass%20%22sich%20nicht%20verstellen%22%2C%20eher%20etwas%20ist%2C%20was%20Spieler%20mit%20MIgrationshintergrund%20wichtiger%20finden.%20Rionaldo%20ist%20aber%20auch%20eine%20sehr%20allgemeine%20Antwort.
0,8,3,,4,Hier%20versucht%20er%20Stereotype%20zu%20bedienen%2C%20die%20er%20glaubt%2C%20dass%20sie%20Spieler%20mit%20MIraghi%20h%C3%A4tten.%20Der%20ehrliche%20Teiklnehmer%20versucht%20mehr%20zu%20erkl%C3%A4ren%20und%20versucht%20dabei%20auch%20p.c.%20zu%20sein.%20Ich%20bin%20mir%20hier%20ziemlich%20sicher.
0,8,4,,1,Beide%20sagen%20genau%20das%20gleiche.%20L%C3%A4sst%20sich%20nichts%20entscheiden.%0A
0,8,5,,4,F%C3%BCr%20mich%20ist%20das%20ganz%20klar%2C%20denn%20der%20KImitator%20ist%20ein%20bisschen%20genervt%20von%20meinen%20sehr%20stereotypen%20Fragen.
0,8,6,,4,Hier%20war%20der%20Imitator%20wahrscheinlich%20ehrlich.
,,,,,
1,0,1,,3,Die%20Person%20der%202.%20Antwort%20versucht%20Klischeehaft%20zu%20antworten
1,0,2,,3,Viel%20zu%20viel%20genannt.%20Apfelschorle%20klingt%20ehrlich%2C%20die%20anderen%20Sachen%20sind%20einfach%20aus%20der%20Luft%20gegriffen
1,0,3,,4,Die%20Antwort%20von%20Person%202%20klingt%20ehrlich.%20Das%20eigene%20Land%20war%20nicht%20vertreten%20und%20dennoch%20freut%20man%20sich%20f%C3%BCr%20das%20Land%20in%20dem%20man%20wohnt.%20
1,0,4,,2,Bin%20mir%20nicht%20sicher%2C%20denke%20dass%20die%20Person%20nich%20genau%20weiss%2C%20ob%20es%20%C3%BCberhaupt%20schneller%20ist%20oder%20nicht
1,0,5,,3,klingt%20irgendwie%20weit%20hergeholt
,,,,,
,,,,,
0,6,1,,4,auf%20grund%20der%20antwort%20wie%20sie%20geschrieben%20wurde
0,6,2,,3,auf%20grund%20der%20antwort%20gehe%20ich%20davon%20auds%20das%20der%20jenige%20nict%20viel%20%C3%BCber%20deutschland%20wei%C3%9F%20und%20sich%20interessiert%0A
0,6,3,,3,da%20das%20die%20%20typische%20atribute%20der%20deutschen%20in%20der%20welt%20sind
0,6,4,,4,w%C3%A4re%20zu%20typisch%20diese%20aussage
0,6,5,,4,weil%20die%20erste%20antwort%20falsch%20ist
0,6,6,,4,auf%20grund%20der%20liebe%20zu%20bratkartoffel%20OHNE%20speck
0,6,7,,4,haahhaha
,,,,,
1,4,1,,4,Beide%20antworten%20sind%20richtig!
1,4,2,,3,Ich%20denke%20es%20w%C3%A4re%20nicht%20sinnvoll%20die%20Person%20im%20Spielverlauf%20umzutreten%20und%20so%20eine%20Rote%20Karte%20zu%20gef%C3%A4hrden
1,4,3,,3,Auch%20wenn%20es%20sicherlich%20kein%20Problem%20darstellen%20sollte%2C%20mehr%20Spieler%20mit%20Migrationshintergrund%20zu%20haben%2C%20ist%20es%20sicherlich%20nicht%20geplant%20eine%20Deutsche%20Nationalmannschaft%20mit%20mehr%20Spielern%20mit%20Migrationshintergrund%20zu%20haben.%20%0ADa%20klingt%20die%20Antwort%201%20sicherlich%20ehrlicher.
1,4,4,,3,Antwort%201%20hat%20eine%20bessere%20und%20ehrlichere%20Begr%C3%BCndung.%20Es%20geht%20nicht%20darum%20ob%20es%20langweilig%20ist%20oder%20nicht%20sondern%20darum%20die%20Leistung%20zu%20beurteilen.%20
1,4,5,,4,Sicherlich%20l%C3%B6st%20sich%20das%20Problem%20nicht%20damit%2C%20mehr%20Spieler%20mit%20Migrationshintergrund%20zu%20integrieren.
1,4,6,,2,Beide%20Antworten%20%C3%A4hneln%20einander%20deswegen%20ist%20es%20Schwer%20zu%20sagen%20welche%20Antwort%2C%20ehrlich%20und%20welche%20Antwort%20vom%20Imitator%20ist.%20%0AIch%20nehme%20aber%20die%202%2C%20weil%20ich%20denke%2C%20dass%20die%20Antwort%201%20die%20ehrlichere%20Antwort%20ist%20und%20er%20wirklich%20in%20der%20WM%202010%20seinen%20Durchbruch%20hatte.%20%0AWas%20die%20T%C3%BCrkei%20mit%20ihm%20und%20gewissen%20anderen%20Spielern%20geschafft%20h%C3%A4tte%2C%20ist%20dahin%20gestellt.%0A
1,4,7,,3,chwer%20zu%20sagen%20da%20es%20bei%20Antwort%202%20keine%20Meinung%20dazu%20gibt%20!
,,,,,
1,1,1,,2,mit%20dem%20Schiedrichter%20hat%20es%20keinen%20sinn%20mehr%20zu%20diskutieren%2C%20weil%20er%20die%20entscheidung%20gegeben%20hat%20man%20kann%20sie%20nicht%20mehr%20r%C3%BCckg%C3%A4ngig%20machen
1,1,2,,2,Mann%20sollte%20nach%20einer%20niederlage%20mit%20seiner%20Fu%C3%9Fballmanschaft%20was%20machen%20damit%20die%20Motivation%20wiede%20kommt%20und%20mann%20sollte%20nicht%20mit%20freunde%20oder%20feundin%20raus%20gehen%20und%20sich%20ablenken%20lassen%20%20
1,1,3,,2,er%20l%C3%BCgt
1,1,4,,3,mann%20sollte%20meh%20auf%20den%20einzelnen%20schuh%20achten%20und%20nicht%20auf%20die%20marke
1,1,5,,4,er%20nimmt%20die%20frage%20nicht%20ens
,,,,,
1,6,1,,1,weil%20das%20kein%20spieler%20so%20antworten%20w%C3%BCrde
1,6,2,,1,so%20antwortet%20kein%20spieler
1,6,3,,1,Denn%20grund%20gibt%20keiner%20an%20!
1,6,4,,2,weil%20beide%20antworten%20echt%20sein%20k%C3%B6nnten
1,6,5,,2,die%20antwort%20ist%20zu%20lang%20
1,6,6,,3,zu%20detailiert%20die%20antwort%20!
1,6,7,,2,Sehr%20gute%20antwort%20!
1,6,8,,4,sagt%20mir%20mein%20bauchgef%C3%BChl
,,,,,
0,7,1,,1,ich%20habe%20absolut%20keine%20Ahnung%20hier.%20Hertha%20ist%20ziemlich%20offensichtlich.%20dass%20der%20vater%20keinen%20club%20unterstuetzt%20ist%20aber%20auch%20ziemlich%20plausibel%0A
0,7,2,,2,antwort%201%20scheint%20mir%20doch%20ein%20wenig%20uebertrieben%2C%20aber%20es%20kann%20natuerlich%20auch%20sein%2C%20dass%20da%20jemand%20ueberzeugend%20klingen%20will.%20bin%20mir%20aber%20nach%20wie%20vor%20unsicher...
0,7,3,,1,absolut%20keine%20ahnung%20--%20frage%20gibt%20nix%20her
0,7,4,,1,fuck%20up
0,7,5,,2,weiss%20nicht%2C%20A1%20klingt%20mir%20bissel%20zu%20relaxt%20in%20dieser%20hinsicht%2C%20ist%20allerdings%20auch%20plausibel.%20A2%20koennte%20von%20mir%20sein%2C%20aber%20sicher%20kann%20ich%20mir%20nicht%20sein%20und%20bin%20ich%20auch%20nicht
0,7,6,,2,das%20kann%20nicht%20ernst%20gemeint%20sein%2C%20zumindest%20der%20erste%20teil!
,,,,,
1,2,1,,2,Ich%20glaube%20das%20ist%20der%20Imitator%2C%20weil%20es%20schwierig%20ist%20soetwas%20zu%20vergessen
1,2,2,,3,Ich%20glaube%20das%20die%20Person%20weiterhin%20Fu%C3%9Fball%20spielen%20w%C3%BCrde%20oder%20sich%20nicht%20richtig%20schohnt.
1,2,3,,3,Ich%20bin%20der%20Meinung%20das%20diese%20Person%20zu%20sehr%20Angst%20hat%20um%20sich%20zu%20wiedersetzen%20
1,2,4,,4,ann%20h%C3%A4tte%20die%20Person%20ernstere%20Konsequenzen%20davon%20zu%20tragen%20als%20der%20jenige%20der%20angefangen%20hat.%20Jeder%20macht%20es%20schlau%20und%20so%20unauff%C3%A4llig%20wie%20m%C3%B6glich
1,2,5,,4,Weil%20die%20meisen%20Spieler%20damit%20nicht%20einversatanden%20w%C3%A4ren
1,2,6,,2,ich%20glaube%20man%20w%C3%BCrde%20etwas%20mitbringen%20was%20man%20auch%20selber%20trinken%20w%C3%BCrde
1,2,7,,1,Ich%20denke%20man%20tr%C3%A4gt%20in%20der%20freizeit%20vieles%20von%20Nike
,,,,,
0,3,1,,4,ich%20gehe%20nicht%20davon%20aus%2C%20dass%20ein%20christ%20der%20ein%20Moslem%20imitiert%2C%20mit%20dem%20richtigen%20wort%20allhamduallah%20antwortet.
0,3,2,,1,da%20beide%20wissen%20wann%20fisch%20gegessen%20wird%2C%20kann%20ich%20nur%20raten.
0,3,3,,3,da%20sie%20eine%20eher%20deutsche%20reaktion%20darstellt%20ohne%20emotionen%2C%20glaube%20ich%20das%20sie%20von%20einem%20imitator%20kommt%2C%20weil%20er%20wei%C3%9F%20wie%20die%20mehrzahl%20der%20deutschen%20reagieren.
0,3,4,,2,er%20wei%C3%9F%2C%20deutsche%20duschen%20in%20der%20mehrzahl%20ohne
,,,,,
0,0,1,,2,Mein%20%22Bauchgef%C3%BChl%22%20hat%20mir%20zu%20dieser%20Entscheidung%20geholfen.
0,0,2,,3,Ich%20w%C3%BCrde%20das%20so%20beurteilen%20weil%20die%20andere%20Antwort%20eigentlich%20nur%20als%20ehrliche%20Antwort%20sein%20kann.
0,0,3,,3,Komischer%20name%20f%C3%BCr%20einen%20Hund.
0,0,4,,3,Die%20Art%20der%20Antwort%20gibt%20den%20Auschlag%20dazu.
0,0,5,,4,Sehr%20unglaubw%C3%BCrdig.
,,,,,
1,8,1,,4,Imitator%20wegen%20der%20zus%C3%A4tzlichen%20Ortsangabe%20nach%20der%20ich%20nicht%20gefragt%20habe.
1,8,2,,3,Die%20Antwort%20ist%20zu%20sehr%20aufgesetzt%20und%20zu%20genau.
1,8,3,,3,%0A
1,8,4,,3,%0A
1,8,5,,3,%0A
